image_id,file_path,title,status,check_id,registration_status,review_action,overall_score,metadata_id,embedding_status,image_url,duration_seconds,error
cma_159234,artworks_met/cma_0153_159234.jpg,Crucifix with Scenes of the Passion,registered,f20c9c66-44f5-439a-9bf7-eb99fe7075a1,allowed,,0.35574187040328975,43bb0f03-7eec-4f3d-a9e5-31c574573c59,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752687/copyright-registrations/crucifix-with-scenes-of-the-passion-f20c9c66-44f5-439a-9bf7-eb99fe7075a1.jpg,12.44,
cma_106088,artworks_met/cma_0154_106088.jpg,Early Morning After a Storm at Sea,registered,a3142538-1f0b-4baa-a54b-a3d00643bdf8,allowed,,0.37670279741287227,d5ec2621-b959-4a46-8015-b8693a99d2bc,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752701/copyright-registrations/early-morning-after-a-storm-at-sea-a3142538-1f0b-4baa-a54b-a3d00643bdf8.jpg,11.83,
cma_115405,artworks_met/cma_0155_115405.jpg,The Pigeon Tower at Bellevue,registered,6b361fa8-6010-4a05-83fb-80315a74825f,allowed,,0.6418767929077148,47eaf711-c4b0-48cc-be1d-fde97658566f,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752711/copyright-registrations/the-pigeon-tower-at-bellevue-6b361fa8-6010-4a05-83fb-80315a74825f.jpg,9.43,
cma_135310,artworks_met/cma_0156_135310.jpg,Two Poplars in the Alpilles near Saint-Rémy,registered,0724afb2-9f84-4d60-984f-a1efbc99eb9b,allowed,,0.7263960361480712,6ae5e4e1-571f-4892-b4fe-d8eec8eeb712,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752721/copyright-registrations/two-poplars-in-the-alpilles-near-saint-r-my-0724afb2-9f84-4d60-984f-a1efbc99eb9b.jpg,10.03,
cma_152834,artworks_met/cma_0157_152834.jpg,Sideboard,registered,f084f518-046b-45ef-8974-8f7c5b83c67c,allowed,,0.6111374139785766,4de2c19f-f7ec-4041-9aa9-da1ae9e54e4a,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752732/copyright-registrations/sideboard-f084f518-046b-45ef-8974-8f7c5b83c67c.jpg,10.83,
cma_130130,artworks_met/cma_0158_130130.jpg,Cup with Daoist Figures,registered,dff7bcf7-c7d1-4458-a810-0431910dc5c8,allowed,,0.5684928715229034,4e28e3b2-31f6-42d1-addd-d8b2cdcac8d2,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752740/copyright-registrations/cup-with-daoist-figures-dff7bcf7-c7d1-4458-a810-0431910dc5c8.jpg,11.84,
cma_144743,artworks_met/cma_0159_144743.jpg,A Hare and a Leg of Lamb,registered,ff505b57-4a11-4e4c-84b9-dce660a95c67,allowed,,0.2600883960723877,94a97066-9739-42fb-826d-395915f7565d,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752753/copyright-registrations/a-hare-and-a-leg-of-lamb-ff505b57-4a11-4e4c-84b9-dce660a95c67.jpg,10.03,
cma_153765,artworks_met/cma_0160_153765.jpg,Commemorative figure (lefem),registered,ad039a7c-3326-4c9a-a552-3eab8c8f7b86,allowed,,0.6121866643428802,f0e1293c-cfe2-46a0-978f-7c2a817b70cc,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752763/copyright-registrations/commemorative-figure-lefem-ad039a7c-3326-4c9a-a552-3eab8c8f7b86.jpg,9.03,
cma_114974,artworks_met/cma_0161_114974.jpg,Buddha Calling on Earth to Witness,registered,87f07117-3c68-4914-a5ad-ac551f20f505,allowed,,0.7005842745304107,3a33baeb-e8e3-4405-a64f-d6adc21da0b4,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752772/copyright-registrations/buddha-calling-on-earth-to-witness-87f07117-3c68-4914-a5ad-ac551f20f505.jpg,12.25,
cma_168322,artworks_met/cma_0162_168322.jpg,Icon of the Mother of God and Infant Christ (Virgin Eleousa),registered,66404da7-0011-43f0-9eaf-3b60ddc741bb,allowed,,0.4281018376350403,ec936d70-70c0-43cc-9a91-9bd546b33623,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752784/copyright-registrations/icon-of-the-mother-of-god-and-infant-christ-virgin-eleousa-66404da7-0011-43f0-9eaf-3b60ddc741bb.jpg,9.51,
cma_129216,artworks_met/cma_0163_129216.jpg,Front Cover for a Gospel Book of French Cardinal Jean La Balou (1421-1491),registered,00c17d5f-9ed2-43bd-81e3-169f6c9affde,allowed,,0.7258818507194518,46c4b87d-ba6f-4df7-9d0f-cd80bb7ae5bd,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752795/copyright-registrations/front-cover-for-a-gospel-book-of-french-cardinal-jean-la-balou-1421-1491-00c17d5f-9ed2-43bd-81e3-169f6c9affde.jpg,11.13,
cma_149101,artworks_met/cma_0164_149101.jpg,"Corner Railing Pillar with Drinking Scenes, Yakshis, and Musicians",registered,01ddb110-08b5-4ab6-9a74-e259c02ba055,allowed,,0.41845913529396056,81ab45c6-1f15-4911-b1ca-3fb94b394fab,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752806/copyright-registrations/corner-railing-pillar-with-drinking-scenes-yakshis-and-musicians-01ddb110-08b5-4ab6-9a74-e259c02ba055.jpg,10.24,
cma_135336,artworks_met/cma_0165_135336.jpg,Berthe Morisot with a Muff,registered,fd1f2b01-2bd3-4ff2-bcdf-b57a1d7a9af4,allowed,,0.6929004728794097,5816a824-887d-4a6a-a017-6f8aa9da9f2b,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752815/copyright-registrations/berthe-morisot-with-a-muff-fd1f2b01-2bd3-4ff2-bcdf-b57a1d7a9af4.jpg,9.03,
cma_112876,artworks_met/cma_0166_112876.jpg,Portable Altar of Countess Gertrude,registered,f65ee806-c3d8-47b8-8def-a6081c18a763,allowed,,0.28174839615821834,eb39aa93-ee3c-42d5-aa6e-b14f97ae2a1e,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752825/copyright-registrations/portable-altar-of-countess-gertrude-f65ee806-c3d8-47b8-8def-a6081c18a763.jpg,10.22,
cma_141644,artworks_met/cma_0167_141644.jpg,Jonah Cast Up,registered,c5b2bff7-cb14-45e3-8d27-17cfe8274bc5,allowed,,0.5779450088739395,67a9218d-b8fd-417b-8e66-004e1ce438b2,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752834/copyright-registrations/jonah-cast-up-c5b2bff7-cb14-45e3-8d27-17cfe8274bc5.jpg,12.24,
cma_122979,artworks_met/cma_0168_122979.jpg,Saluting Protective Spirit,registered,c9bbd5ed-2488-4aa3-98ba-7ba304f063d6,allowed,,0.5547505468130112,9f1ca0c8-841a-4e80-b594-66dc48bb9bcc,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752848/copyright-registrations/saluting-protective-spirit-c9bbd5ed-2488-4aa3-98ba-7ba304f063d6.jpg,10.82,
cma_147084,artworks_met/cma_0169_147084.jpg,Virupa,registered,7ca10cf8-3ee8-4b7e-b190-415ff4656233,allowed,,0.5316702961921691,3eb40dba-6b6a-4317-a198-5217fd380fd8,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752857/copyright-registrations/virupa-7ca10cf8-3ee8-4b7e-b190-415ff4656233.jpg,9.03,
cma_137298,artworks_met/cma_0170_137298.jpg,Prayer Niche (Mihrab),registered,dde0a210-85fd-4650-a585-cb617da81d2c,allowed,,0.5377606838941573,ac40419c-be9b-4733-82a7-70f571260bff,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752869/copyright-registrations/prayer-niche-mihrab-dde0a210-85fd-4650-a585-cb617da81d2c.jpg,11.83,
cma_147480,artworks_met/cma_0171_147480.jpg,Ballgame Hip Protector (Yoke),registered,befa6c23-4946-4a26-9b9b-bd527cf85fbd,allowed,,0.6598096132278441,da605a01-2fdd-4062-87fd-478a3fbeeeef,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752880/copyright-registrations/ballgame-hip-protector-yoke-befa6c23-4946-4a26-9b9b-bd527cf85fbd.jpg,11.63,
cma_147155,artworks_met/cma_0172_147155.jpg,Zaō Gongen,registered,a2e1657e-3ba7-40b8-a96e-95a8428661b8,allowed,,0.5132685482501983,ed67ba6e-3397-4028-bf99-8ca7135f8fd5,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752889/copyright-registrations/za-gongen-a2e1657e-3ba7-40b8-a96e-95a8428661b8.jpg,11.83,
cma_136680,artworks_met/cma_0173_136680.jpg,Saint Jerome,registered,5d78f890-7729-47db-bef8-15fecfeca0d2,allowed,,0.6991410791873931,cb80ac9a-5bb0-4cbb-9f42-861f1311217c,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752902/copyright-registrations/saint-jerome-5d78f890-7729-47db-bef8-15fecfeca0d2.jpg,9.43,
cma_135185,artworks_met/cma_0174_135185.jpg,Mount Sainte-Victoire,registered,16571b96-f66e-4c65-97d1-6ea4455818b2,allowed,,0.721076214313507,3e9e246a-2833-44f4-a1b5-373051ccdbd6,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752911/copyright-registrations/mount-sainte-victoire-16571b96-f66e-4c65-97d1-6ea4455818b2.jpg,12.04,
cma_152017,artworks_met/cma_0175_152017.jpg,Fire-flame Cooking Vessel (Ka'en Doki),registered,27601f5c-b8fb-40ca-a0fe-8409711ad9dc,allowed,,0.42841317653656,048bdc52-6876-477c-a915-c17460cd5808,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752923/copyright-registrations/fire-flame-cooking-vessel-ka-en-doki-27601f5c-b8fb-40ca-a0fe-8409711ad9dc.jpg,9.03,
